Feria_Nombre,Feria_Lugar,Feria_Fecha_Inicio,Feria_Fecha_Fin,Categoria_Nombre,Caballo_Nombre,Caballo_Criadero,Cuota_Base
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Tambo Dos Aguas,Criadero Dos Aguas,1.55
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Picasso de La Ilusión,Criadero La Ilusión,1.75
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Galileo del Retiro,Hacienda El Retiro,2.1
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Sultán de Palermo,Criadero Palermo,2.4
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Rayo de Combia,Criadero Combia Real,2.8
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Embajador del Sur,Criadero Las Mercedes,3.2
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Príncipe de Anserma,Hacienda La Quinta,3.75
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Paso Fino Colombiano (P4),Trueno de Versalles,Criadero Versalles,4.2
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha Pura Colombiana (P3),Relámpago del Jordán,Criadero El Jordán,1.6
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha Pura Colombiana (P3),Quijote de Aguadas,Hacienda Aguadas,1.9
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha Pura Colombiana (P3),Maestro de La Pintada,Criadero La Pintada,2.25
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha Pura Colombiana (P3),Vendaval de Caldas,Criadero La Serrana,2.6
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha Pura Colombiana (P3),Lucero de Supía,Hacienda Santa Ana,3.0
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha Pura Colombiana (P3),Señorío del Cauca,Criadero El Cauca,3.5
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha Pura Colombiana (P3),Brillante de Río Sucio,Criadero Río Sucio,4.0
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha y Galope (P2),Zafiro de Bello,Criadero Bello Horizonte,1.7
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha y Galope (P2),Fenix de Envigado,Hacienda La Ceja,2.0
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha y Galope (P2),Diablo de Rionegro,Criadero Rionegro,2.35
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha y Galope (P2),Huracan de La Union,Criadero La Unión,2.75
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha y Galope (P2),Centinela del Este,Hacienda El Tesoro,3.1
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha y Galope (P2),Bandido de Marinilla,Criadero Marinilla,3.6
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trocha y Galope (P2),Corsario de Guarne,Hacienda Guarne,4.1
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trote y Galope (P1),Astro de Copacabana,Criadero Copacabana,1.65
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trote y Galope (P1),Gladiador de Barbosa,Hacienda Barbosa,1.95
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trote y Galope (P1),Tifón de Girardota,Criadero Girardota,2.3
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trote y Galope (P1),Guerrero de Concepción,Hacienda Concepción,2.7
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trote y Galope (P1),Ícaro de Don Matías,Criadero Don Matías,3.15
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trote y Galope (P1),Esparta de Santa Rosa,Hacienda Santa Rosa,3.55
Feria de las Flores – Concurso Nacional de Caballos,"La Macarena, Medellín – Antioquia",2025-08-02,2025-08-10,Trote y Galope (P1),Dragón de Yarumal,Criadero Yarumal,4.05
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Campeón de Villamaría,Criadero Villamaría,1.5
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Altivo de La Dorada,Hacienda La Dorada,1.8
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Dorado de Neira,Criadero Neira,2.15
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Imperio de Pensilvania,Criadero Pensilvania,2.5
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Monarca de Aguadas,Hacienda El Nogal,2.9
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Vencedor de Anserma,Criadero Anserma,3.3
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Tornado de Riosucio,Hacienda Riosucio,3.8
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Paso Fino Colombiano (P4),Capitán de Salamina,Criadero Salamina,4.3
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Trono de Supía,Criadero Supía Real,1.55
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Señor de Marmato,Hacienda Marmato,1.85
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Corcel de La Merced,Criadero La Merced,2.2
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Galán de Filadelfia,Hacienda El Turco,2.6
